0,0,294,640,
25,0,320,640,
44,0,339,640,
70,0,364,640,
89,0,390,640,
115,0,409,640,
134,0,435,640,
160,0,454,640,
185,0,480,640,
204,0,505,640,
230,0,524,640,
249,0,550,640,
275,0,569,640,
300,0,595,640,
320,0,614,640,
345,0,640,640,
0,0,268,576,
0,32,268,608,
0,64,268,640,
25,0,288,576,
25,32,288,608,
25,64,288,640,
44,0,313,576,
44,32,313,608,
44,64,313,640,
70,0,339,576,
70,32,339,608,
70,64,339,640,
96,0,358,576,
96,32,358,608,
96,64,358,640,
115,0,384,576,
115,32,384,608,
115,64,384,640,
140,0,409,576,
140,32,409,608,
140,64,409,640,
166,0,428,576,
166,32,428,608,
166,64,428,640,
185,0,454,576,
185,32,454,608,
185,64,454,640,
211,0,473,576,
211,32,473,608,
211,64,473,640,
230,0,499,576,
230,32,499,608,
230,64,499,640,
256,0,524,576,
256,32,524,608,
256,64,524,640,
281,0,544,576,
281,32,544,608,
281,64,544,640,
300,0,569,576,
300,32,569,608,
300,64,569,640,
326,0,595,576,
326,32,595,608,
326,64,595,640,
352,0,614,576,
352,32,614,608,
352,64,614,640,
371,0,640,576,
371,32,640,608,
371,64,640,640,
0,0,236,512,
0,32,236,544,
0,64,236,576,
0,96,236,608,
0,128,236,640,
25,0,262,512,
25,32,262,544,
25,64,262,576,
25,96,262,608,
25,128,262,640,
44,0,281,512,
44,32,281,544,
44,64,281,576,
44,96,281,608,
44,128,281,640,
70,0,307,512,
70,32,307,544,
70,64,307,576,
70,96,307,608,
70,128,307,640,
96,0,332,512,
96,32,332,544,
96,64,332,576,
96,96,332,608,
96,128,332,640,
121,0,358,512,
121,32,358,544,
121,64,358,576,
121,96,358,608,
121,128,358,640,
140,0,377,512,
140,32,377,544,
140,64,377,576,
140,96,377,608,
140,128,377,640,
166,0,403,512,
166,32,403,544,
166,64,403,576,
166,96,403,608,
166,128,403,640,
192,0,428,512,
192,32,428,544,
192,64,428,576,
192,96,428,608,
192,128,428,640,
211,0,448,512,
211,32,448,544,
211,64,448,576,
211,96,448,608,
211,128,448,640,
236,0,473,512,
236,32,473,544,
236,64,473,576,
236,96,473,608,
236,128,473,640,
262,0,499,512,
262,32,499,544,
262,64,499,576,
262,96,499,608,
262,128,499,640,
281,0,518,512,
281,32,518,544,
281,64,518,576,
281,96,518,608,
281,128,518,640,
307,0,544,512,
307,32,544,544,
307,64,544,576,
307,96,544,608,
307,128,544,640,
332,0,569,512,
332,32,569,544,
332,64,569,576,
332,96,569,608,
332,128,569,640,
358,0,595,512,
358,32,595,544,
358,64,595,576,
358,96,595,608,
358,128,595,640,
377,0,614,512,
377,32,614,544,
377,64,614,576,
377,96,614,608,
377,128,614,640,
403,0,640,512,
403,32,640,544,
403,64,640,576,
403,96,640,608,
403,128,640,640,
0,0,204,448,
0,32,204,480,
0,64,204,512,
0,96,204,544,
0,128,204,576,
0,160,204,608,
0,192,204,640,
25,0,230,448,
25,32,230,480,
25,64,230,512,
25,96,230,544,
25,128,230,576,
25,160,230,608,
25,192,230,640,
44,0,256,448,
44,32,256,480,
44,64,256,512,
44,96,256,544,
44,128,256,576,
44,160,256,608,
44,192,256,640,
70,0,275,448,
70,32,275,480,
70,64,275,512,
70,96,275,544,
70,128,275,576,
70,160,275,608,
70,192,275,640,
89,0,300,448,
89,32,300,480,
89,64,300,512,
89,96,300,544,
89,128,300,576,
89,160,300,608,
89,192,300,640,
115,0,320,448,
115,32,320,480,
115,64,320,512,
115,96,320,544,
115,128,320,576,
115,160,320,608,
115,192,320,640,
134,0,345,448,
134,32,345,480,
134,64,345,512,
134,96,345,544,
134,128,345,576,
134,160,345,608,
134,192,345,640,
160,0,364,448,
160,32,364,480,
160,64,364,512,
160,96,364,544,
160,128,364,576,
160,160,364,608,
160,192,364,640,
179,0,390,448,
179,32,390,480,
179,64,390,512,
179,96,390,544,
179,128,390,576,
179,160,390,608,
179,192,390,640,
204,0,409,448,
204,32,409,480,
204,64,409,512,
204,96,409,544,
204,128,409,576,
204,160,409,608,
204,192,409,640,
230,0,435,448,
230,32,435,480,
230,64,435,512,
230,96,435,544,
230,128,435,576,
230,160,435,608,
230,192,435,640,
249,0,460,448,
249,32,460,480,
249,64,460,512,
249,96,460,544,
249,128,460,576,
249,160,460,608,
249,192,460,640,
275,0,480,448,
275,32,480,480,
275,64,480,512,
275,96,480,544,
275,128,480,576,
275,160,480,608,
275,192,480,640,
294,0,505,448,
